MesZL	SL/HA	aBZL	HethZL		Sign Name	Unicode	Unicode Name	comment	has unicode	worthington	
703	421	295	303		ALIM (GÌR× A.IGI)	U+1210B 𒄋	GIR3 TIMES A PLUS IGI		TRUE	FALSE	
703	421n2	295	303		ALIM (GÌR×IGI)	U+1210D 𒄍	GIR3 TIMES IGI	old	TRUE	FALSE	
309	170	119	168		AM (GU4×KUR)	U+12120 𒄠	GUD TIMES KUR		TRUE	FALSE	
310	170an		203		AM×A	U+1211F 𒄟	GUD TIMES A PLUS KUR	reconstruction	TRUE	FALSE	
392	237	94	57		AMA (GÁ×AN)	U+120BC 𒂼	GA2 TIMES AN		TRUE	FALSE	
695	437	367	155		AMAR (ZUR)	U+1202B 𒀫	AMAR		TRUE	FALSE	
697	438n		276		AMAR×KUG			Hitt.	FALSE	FALSE	
460	293	174			AMAŠ (DAG.KISIM5× LU.MÁŠ)	U+12066 𒁦	DAG KISIM5 TIMES LU PLUS MASH2		TRUE	FALSE	
10	13	9	8		AN	U+1202D 𒀭	AN		TRUE	TRUE	
293	165v				AN.NAGA.AN.NAGAinversum	U+12030 𒀰	AN PLUS NAGA OPPOSING AN PLUS NAGA		TRUE	FALSE	
353	208	292	302		ANŠE (GÌR×PA or GÌR×"TAB")	U+1210F 𒄏	GIR3 TIMES PA		TRUE	FALSE	
353	208	292	302		ANŠE (GÌR×PA or GÌR×"TAB")	U+12032 𒀲	ANSHE		TRUE	FALSE	
90	56	5	9		APIN (ENGAR)	U+12033 𒀳	APIN		TRUE	FALSE	
726	451	234	289		AR (IGI.RI)	U+12148 𒅈	IGI RI		TRUE	FALSE	
18	50	16	16		ARAD	U+12034 𒀴	ARAD		TRUE	TRUE	
19	51	17			ÁRAD (ARAD×KUR)	U+12035 𒀵	ARAD TIMES KUR	reconstruction	TRUE	FALSE	
432	271	104			ARḪUŠ (GÁ/É×MUNUS)	U+120E3 𒃣	GA2 TIMES SAL	standard: É×MUNUS	TRUE	FALSE	
432	271	104			ARḪUŠ (GÁ/É×MUNUS)	U+12091 𒂑	E2 TIMES SAL		TRUE	FALSE	
1	1	1	1		AŠ	U+12038 𒀸	ASH		TRUE	TRUE	
862	598b	477	372		ÀŠ	U+1240B 𒐋	NUMERIC SIGN SIX DISH	"6"	TRUE	FALSE	
548	339	211	241		ÁŠ (ZÍZ)	U+12369 𒍩	ZIZ2		TRUE	FALSE	
548	339	211	241		ÁŠ (ZÍZ)	U+1203E 𒀾	ASH2		TRUE	TRUE	
2	2		1		AŠ.AŠ	U+12400 𒐀	NUMERIC SIGN TWO ASH	"2"	TRUE	FALSE	
164	099b3				AŠ.KU.KUoverAŠ.KU.KU .KÚR	U+1203B 𒀻	ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP		TRUE	FALSE	
11	14				AŠ+SUR	U+12038 𒀸 & U+122E9 𒋩	ASH & SUR	ligature	TRUE	FALSE	
217	125c				AŠ4 (TAB.TAB.TAB)	U+12404 𒐄	NUMERIC SIGN SIX ASH	"6"	TRUE	FALSE	
536	331a				AŠ9 (EŠ16.EŠ16)	U+12440 𒑀	NUMERIC SIGN SIX VARIANT FORM ASH9	"6"	TRUE	FALSE	
79	44	184			ASARI (URU×IGI)	U+12342 𒍂	URU TIMES IGI		TRUE	TRUE	
173	104_6	443	80		AŠGAB	U+1203F 𒀿	ASHGAB		TRUE	FALSE	
288	158	159			ÀSILAL (EZEN×A)	U+120A2 𒂢	EZEN TIMES A		TRUE	FALSE	
285	156	158			ASILAL (EZEN×LÁL)	U+120B0 𒂰	EZEN TIMES LAL TIMES LAL		TRUE	FALSE	
290	160				ASILAL4 (EZEN× A.LÁL)	U+120A4 𒂤	EZEN TIMES A PLUS LAL TIMES LAL		TRUE	FALSE	
297	131	180	92		AZ (PIRIG×ZA)	U+1228D 𒊍	PIRIG TIMES ZA		TRUE	FALSE	
324	181v		104		AZU (NÍNDA×NUN)	U+1236B 𒍫	ZU5		TRUE	FALSE	
324	181v		104		AZU (NÍNDA×NUN)	U+12259 𒉙	NINDA2 TIMES NUN		TRUE	FALSE	
324	181n				AZU×A	U+1236C 𒍬	ZU5 TIMES A	reconstruction; cf. O.B.O. 160/I 282	TRUE	FALSE	
14	5	303	205		BA	U+12040 𒁀	BA		TRUE	FALSE	
113	69	25	13		BAD	U+12041 𒁁	BAD		TRUE	TRUE	
272	152_8b				BÀD (UG5 (EZEN×AN))	U+120A1 𒂡	EZEN TIMES AN	old form of n275 EZEN×BAD	TRUE	TRUE	"sher"
275	152_8	153	114		BÀD (UG5 (EZEN×BAD))	U+120A6 𒂦	EZEN TIMES BAD	see also n272	TRUE	TRUE	BAD
5	9	3	4		BAL	U+12044 𒁄	BAL		TRUE	TRUE	
122	74	29	20		BÁN	U+1244F 𒑏	NUMERIC SIGN ONE BAN2		TRUE	FALSE	
549	339				BANEŠ ("ÁŠ")	U+12451 𒑑	NUMERIC SIGN THREE BAN2		TRUE	FALSE	
551	341				BANIA ("ÁŠ. UoverU/GE23overGE23")	U+12455 𒑕	NUMERIC SIGN FIVE BAN2 VARIANT FORM		TRUE	FALSE	
551	341v				BANIA ("ÁŠ. UoverU/GE23overGE23")	U+12454 𒑔	NUMERIC SIGN FIVE BAN2		TRUE	FALSE	
550	340				BANLIMMU ("ÁŠ.U/GE23")	U+12453 𒑓	NUMERIC SIGN FOUR BAN2 VARIANT FORM		TRUE	FALSE	
550	340v				BANLIMMU ("ÁŠ.U/GE23")	U+12452 𒑒	NUMERIC SIGN FOUR BAN2		TRUE	FALSE	
465	295	143			BANMIN ("PA")	U+12450 𒑐	NUMERIC SIGN TWO BAN2		TRUE	FALSE	
377	227				BÁNŠUR	U+12143 𒅃	IDIM OVER IDIM BUR		TRUE	FALSE	
75	41	182	-229		BANŠUR (URU×URUDU)	U+1234E 𒍎	URU TIMES URUDA		TRUE	FALSE	
121	74	57	20		BAR	U+12047 𒁇	BAR		TRUE	TRUE	
554	344	217	235		BÁRA	U+12048 𒁈	BARA2	cultic/political place. However, if the pattern is "ME fit for Official A", it would mean "ruler". ruler	TRUE	FALSE	
358	214	79	153		BI	U+12049 𒁉	BI		TRUE	FALSE	
361	214c				BI×GAR	U+1204B 𒁋	BI TIMES GAR	reconstruction	TRUE	FALSE	
360	214a				BI×SIG7	U+1204C 𒁌	BI TIMES IGI GUNU	reconstruction	TRUE	FALSE	
312	173	117	172		BÍL (GIBIL; NE×PAB, NE-šeššig)	U+1224B 𒉋	NE SHESHIG		TRUE	TRUE	
643	400	287	334		BIR (ḪI×ŠE)	U+12135 𒄵	HI TIMES SHE		TRUE	FALSE	
606	388				BIR6 (ŠÀ× U.A)	U+122B6 𒊶	SHA3 TIMES U PLUS A		TRUE	FALSE	
572	357				BÌŠEBA (GU4overGU4.LUGAL)	U+12121 𒄡	GUD OVER GUD LUGAL		TRUE	FALSE	
580	371	265	339		BU (GÍD)	U+1204D 𒁍	BU		TRUE	FALSE	
788	515	411			BUL (LAGAB×EŠ)	U+121E7 𒇧	LAGAB TIMES U PLUS U PLUS U		TRUE	FALSE	
169	96	18			BULUG	U+12051 𒁑	BULUG		TRUE	FALSE	
94	060+060	264	257		BÙLUG	U+1227D 𒉽 & U+1227D 𒉽	PAP & PAP		TRUE	FALSE	
54	30	322	144		BÚN (KA×IM)	U+1216E 𒅮	KA TIMES IM		TRUE	FALSE	
581	371n3				BUoverBUcrossed	U+12050 𒁐	BU CROSSING BU		TRUE	FALSE	
8	11	13			BÚR	U+12054 𒁔	BUR2		TRUE	FALSE	
559	349	223	245		BUR (NÍG-gunû)	U+12053 𒁓	BUR		TRUE	FALSE	
165	54	63	274		BURU14 (EN×KÁR/EN×GÁN)	U+12098 𒂘	EN TIMES GAN2		TRUE	FALSE	
135	79av	43	39(2)	.	BURU5 (NAM.ERIM) etc.	U+12246 𒉆 & U+1209F 𒂟 etc.	NAM & ERIN2	U+12245 𒉅 NAM NUTILLU: uncertain	TRUE	FALSE	
561	335	229	214		DA	U+12055 𒁕	DA		TRUE	TRUE	
386	229n				DÀG ("NA4")	U+1224C 𒉌 & U+1209F 𒂟	NI & ERIM		TRUE	FALSE	
438	280	168	243		DAG (PÀR)	U+12056 𒁖	DAG		TRUE	TRUE	"tak"
439	281				DAG.KISIM5			uncertain	FALSE	FALSE	
454	290n		283		DAG.KISIM5× Ú.MAŠ/BAR			Hitt.	FALSE	FALSE	
461	294b		190; 285		DAG.KISIM5×A.MAŠ	U+12057 𒁗	DAG KISIM5 TIMES A PLUS MASH		TRUE	FALSE	
458	288sub				DAG.KISIM5×AMAR	U+12058 𒁘	DAG KISIM5 TIMES AMAR		TRUE	FALSE	
447	288				DAG.KISIM5×BI	U+1205A 𒁚	DAG KISIM5 TIMES BI		TRUE	FALSE	
456	294c				DAG.KISIM5×DÉ or			uncertain	FALSE	FALSE	
457	292				DAG.KISIM5×DÚB/BALAG	U+12059 𒁙	DAG KISIM5 TIMES BALAG		TRUE	FALSE	
448	288a; 294f				DAG.KISIM5×GAG	U+12063 𒁣	DAG KISIM5 TIMES KAK		TRUE	FALSE	
444	284				DAG.KISIM5×GI	U+1205D 𒁝	DAG KISIM5 TIMES GI		TRUE	FALSE	
462	294d				DAG.KISIM5×ḪA	U+12060 𒁠	DAG KISIM5 TIMES HA		TRUE	FALSE	
443	283				DAG.KISIM5×KÍD	U+1206B 𒁫	DAG KISIM5 TIMES TAK4		TRUE	FALSE	
441	282				DAG.KISIM5×LA	U+12064 𒁤	DAG KISIM5 TIMES LA		TRUE	FALSE	
463	294a				DAG.KISIM5×LUM	U+12067 𒁧	DAG KISIM5 TIMES LUM		TRUE	FALSE	
442	282a				DAG.KISIM5×MUNU4	U+12069 𒁩	DAG KISIM5 TIMES PAP PLUS PAP		TRUE	FALSE	
