name	sign	syllabic	PREFIX	POSTFIX	meszl	unicode	compound	sumerogram1	sumerogram2	sumerogram3	sumerogram4	sumerogram5	sumerogram6	sumerogram7	sumerogram8	sumerogram9	sumerogram10	sumerogram11	sumerogram12	sumerogram13	sumerogram14																											
GI	𒄀𒆸𒆸				141+804	U+12100 & U+121B8 & U+121B8	True	GI.LAGAB+LAGAB	GI.LAGAB.LAGAB	GARADIN5																																						
GI	𒄀𒇻				141+812	U+12100 & U+121FB	True	AMA3																																								
NUN.LAGAR x UŠ	𒉨				143 (sign NUN)	U+12268	False																																									
NUN.ŠE	𒉣𒊺				143+579	U+12263 & U+122BA	True	KIŠI12																																								
NUN.KI	𒉣𒆠				143+737	U+12263 & U+121A0	True	GUR19																																								
NUN.ME	𒉣𒈨				143+753	U+12263 & U+12228	True	ABGAL																																								
NUN.ME.PU3	𒉣𒈨𒅤				143+753 Ě 034	U+12263 & U+12228 & U+12164	True	ABGAL2																																								
NUN.ME.TAG	𒉣𒈨𒋳				143+753+221	U+12263 & U+12228 & U+122F3	True	GAŠAM	GAŠŠU																																							
ABRIG	𒉣𒈨𒁺				143+753+350	U+12263 & U+12228 & U+1207A	True	NUN.ME.DU																																								
NUN.ME.DU	𒉣𒈨𒁺				143+753+350      also      672	U+12263 & U+12228 & U+1207A	True	ABRIG																																								
NUN.ḪA	𒉣𒄩				143+856	U+12263 & U+12129	True	AGARGARA2																																								
NUN	𒉩				144	U+12269	False	AGARGARA	NUNPE																																							
NUN tenû.KI	𒉩𒆠				144+737	U+12269 & U+121A0	True	GUR19																																								
TUR3	𒉣𒇬				145	U+12263 & U+121EC	True	NUN.LAGAR	SURUM																																							
TUR3	𒉣𒇬  over 𒉣𒇬				145 (sign TUR3)	U+12263 & U+121EC & U+0020 & U+0020 & U+006F & U+0076 & U+0065 & U+0072 & U+0020 & U+12263 & U+121EC	True	NUN.LAGAR over  NUN.LAGAR	AKAR																																							
IMMAL	𒉥				146	U+12265	False	NUN.LAGAR x MAŠ	NUN.LAGAR  x BAR	ARḪUŠ3	ŠALLAM	ŠILLAM2	UŠ6																																			
TUR3	𒉨				146'	U+12268	False	GAGAx	GALGAx																																							
TUR3 x NIG2	𒉤				146''	U+12264	False	NUN.LAGAR x GAR																																								
ŠILAM	𒉦				147	U+12266	False	NUN.LAGAR x SAL	NUN.LAGAR  x MUNUS	ARḪUŠ2	IMMAL2	ŠALLAM	UŠ5																																			
ŠILAM over ŠILAM	𒉧				147	U+12267	False	NUN.LAGAR x SAL  over NUN.LAGAR  x SAL	AKAR																																							
ḪUB2	𒄸				149	U+12138	False	ḪUP2	KUB3	KUP3	QUB3	TU11	TUN2																																			
ḪUB2	𒄺				149 (sign ḪUB2)	U+1213A	False																																									
ḪUB2	𒄻				149 (sign ḪUB2)	U+1213B	False																																									
ḪUB2	𒄼				149 (sign ḪUB2)	U+1213C	False																																									
ḪUB2	𒄸𒁺				149+350	U+12138 & U+1207A	True	RIG9																																								
ḪUB2 x UD	𒄽				150	U+1213D	False	ḪUB	TU10	TUN																																						
ḪUB2	𒄹				150 (sign ḪUB2)	U+12139	False																																									
MUŠ2	𒈽				152	U+1223D	False	MUŠ3 gunû	AḪULAB	TIŠPAK																																						
MUŠ2	𒈽𒁍				152+580	U+1223D & U+1204D	True	SUSBU	SUZBU																																							
MUŠ3	𒈹				153	U+12239	False	ENNIN	INANNA	INNANA	INNIN	MIM2	ZANNARU																																			
MUŠ3	𒈼				153 (sign MUŠ3)	U+1223C	False																																									
MUŠ3	𒈹𒋭				153+170	U+12239 & U+122ED	True	ALAMUŠ2	ALAMMUŠ2																																							
MUŠ3	𒈹𒀊				153+223	U+12239 & U+1200A	True	ZABALA5	ZABALAM5																																							
MUŠ3	𒈹𒀕				153+232	U+12239 & U+12015	True	ZABALA3	ZABALAM3																																							
MUŠ3	𒈹𒁍				153+580	U+12239 & U+1204D	True	SUSBU3	SUZBU3																																							
MUŠ3	𒈹𒁲				153+736	U+12239 & U+12072	True	SE25	SED4	ŠE17	ŠED10																																					
MUŠ3	𒈹𒂞				153+818	U+12239 & U+1209E	True	ŠUŠUMx																																								
MUŠ3	𒈹𒋁				153+821	U+12239 & U+122C1	True	ŠŪŠU	ŠŪŠUM																																							
MUŠ3	𒈹𒍝				153+851	U+12239 & U+1235D	True	ŠUBA3																																								
MUŠ3	𒈹𒍝𒀕				153+851+232	U+12239 & U+1235D & U+12015	True	ZABALA4	ZABALAM4																																							
MUŠ3	𒈺				154	U+1223A	False	SE24	ŠED9																																							
SED	𒈻				155	U+1223B	False	MUŠ3 x A.DI	AMAGI	ŠE4	ŠED7																																					
MUŠ3	𒈹  x 𒍝				156	U+12239 & U+0020 & U+0020 & U+0078 & U+0020 & U+1235D	True	ŠUBA3																																								
GAD.KID2	𒃰𒋺				158	U+120F0 & U+122FA	True	AŠŠA2	AŠTA	KIL4																																						
AKKIL	𒃰𒋺𒋛				159	U+120F0 & U+122FA & U+122DB	True	GAD.KID2.SI																																								
UMBIN	𒌢				160	U+12322	False	GAD.KID2.UR2	DUBBIN																																							
SIG8	𒃰𒋺𒄑				161	U+120F0 & U+122FA & U+12111	True	GAD.KID2.GIŠ	GIM8	SEG8	URUAKA	URUIŠDUA	URULLA																																			
ŠINIG	𒋒				162	U+122D2	False	GAD.NAGA																																								
KINDA	𒃱				163	U+120F1	False	GAD over  GAD.GAR over  GAR																																								
AŠ over AŠ.TUG2 over TUG2.TUG2 over TUG2.PAP	𒀻				164	U+1203B	False																																									
EN crossing EN	𒂛				164	U+1209B	False	ADAMEN5	ADAMIN5	DALḪAMUN2																																						
EN squared	𒂝				164	U+1209D	False	MERIMER2																																								
KU over ḪAR.KU over ḪAR	𒆫				164	U+121AB	False	KU over ḪI  x AŠ2.KU over ḪI  x AŠ2																																								
EN opposing EN	𒂜				164 (EN)	U+1209C	False																																									
EN.ZU	𒂗𒍪				164+015	U+12097 & U+1236A	True	SIN3	SUEN	SUENA	ZUEN	ZUENA																																				
ENME.LI	𒂚𒇷				164+085	U+1209A & U+121F7	True	EN x ME.LI	ENSI3	INSI3																																						
EN.PAB.SIG7	𒂗𒉽𒅊𒉣𒈨𒂬				164+092+564+143+753+277	U+12097 & U+1227D & U+1214A & U+12263 & U+12228 & U+120AC	True	ENKUM																																								
EN.TI	𒂗𒋾				164+118	U+12097 & U+122FE	True	EBIḪ																																								
EN	𒂗𒈦𒆕				164+120+379	U+12097 & U+12226 & U+12195	True	MAŠDA4																																								
ENME.GI	𒂚𒄀				164+141	U+1209A & U+12100	True	EN x ME.GI	ENGIZ2																																							
EN.KID	𒂗𒆤				164+484	U+12097 & U+121A4	True	ELLIL	ILLIL	NIBRI	NIBRU																																					
EN.NUNUZ.ZI.AN.ŠEŠ.KI	𒂗𒉭𒍣𒀭𒋀𒆠				164+614+140+010+535+737	U+12097 & U+1226D & U+12363 & U+1202D & U+122C0 & U+121A0	True	ZIRRU																																								
EN.NUNUZ.ZI.AN.UD	𒂗𒉭𒍣𒀭𒌓				164+614+140+010+596	U+12097 & U+1226D & U+12363 & U+1202D & U+12313	True	NUNUZZI																																								
EN.NUNUZ.GIM	𒂗𒉭𒁶				164+614+686	U+12097 & U+1226D & U+12076	True	ENNIGI2	ENEGI2																																							
EN crossing EN.IM crossing IM	𒂛𒅐				164+641v	U+1209B & U+12150	True	DALḪAMUN3																																								
EN.GIM.GIG	𒂗𒁶𒈪𒉭				164+686+705	U+12097 & U+12076 & U+1222A & U+1226D	True	ENNIGI3																																								
EN.ME.AN.MUŠ3	𒂗𒈨𒀭𒈹				164+753+010+153	U+12097 & U+12228 & U+1202D & U+12239	True	EN.ME.AN+MUŠ3	UKURRIM	UKURIN																																						
EN.ME.LI	𒂗𒈨𒇷				164+753+085	U+12097 & U+12228 & U+121F7	True	ENSI	INSI	ŠEŠLAM2																																						
EN.ME.MU	𒂗𒈨𒈬				164+753+098	U+12097 & U+12228 & U+1222C	True	ENDIB	ENDUB																																							
EN.ME.GI	𒂗𒈨𒄀				164+753+141	U+12097 & U+12228 & U+12100	True	ENGIZ																																								
EN.ME.AD.KUG	𒂗𒈨𒀜𒆬				164+753+258+745	U+12097 & U+12228 & U+1201C & U+121AC	True	ŠENNU																																								
EN.ME.LAGAR	𒂗𒈨𒇬				164+753+719	U+12097 & U+12228 & U+121EC	True	MURUB3																																								
EN.TUG2	𒂗𒌆𒀀				164+809+839	U+12097 & U+12306 & U+12000	True	EN.KU.A	MUDRU2																																							
ENME	𒂚				164lig2	U+1209A	False	EN x ME																																								
EN x GAN2	𒂘				165	U+12098	False	BAR8																																								
EN x KAR2	𒂙				165	U+12099	False	EN x GAN2tenû	BAR8																																							
DAR3	𒁰				166	U+12070	False	DARA3	DURAḪ	TAR3	TARA3	TARAḪ	ṬAR3																																			
MUN	𒁵				168	U+12075	False																																									
BULUG	𒁑				169	U+12051	False	BU9																																								
BULUG over BULUG	𒁒				169	U+12052	False	MEBULUG2																																								
LAL3	𒋭  also  𒋫  x 𒄭				170 (also 250)	U+122ED & U+0020 & U+0020 & U+0061 & U+006C & U+0073 & U+006F & U+0020 & U+0020 & U+122EB & U+0020 & U+0020 & U+0078 & U+0020 & U+1212D	True	TA x ḪI	ALAMMUŠ																																							
KU7	𒆯				171	U+121AF	False	BADILIŠA	BANDILIŠA	TUBAŠIN																																						
KU7	𒆯𒆯				171+171	U+121AF & U+121AF	True	KUKKU																																								
KU7.KU7.KI	𒆯𒆯𒆠				171+171+737	U+121AF & U+121AF & U+121A0	True	KUKKI																																								
SA.NI	𒊓𒉌				172+380	U+12293 & U+1224C	True	GAR2																																								
AŠGAB	𒀿				173	U+1203F	False																																									
GAN2	𒃷				174	U+120F7	False	AL3																																								
GAN2	𒃹				174	U+120F9	False	AL’AL2																																								
GAN2	𒃺				174 (sign GAN2)  378 (sign KIB)	U+120FA	False																																									
KAR2	𒃸				175	U+120F8	False	GAN2tenûand ŠE3tenû	GAR19	GARAK	GUR6	GURU6	KARA2	KIRI2																																		
GU2	𒄚				176 (sign GU2)	U+1211A	False																																									
GU2	𒄜				176 (sign GU2)	U+1211C	False																																									
USAN	𒄛  and  𒄘𒉣				177	U+1211B & U+0020 & U+0020 & U+0061 & U+006E & U+0064 & U+0020 & U+0020 & U+12118 & U+12263	True	GU2 x NUN	GU2.NUN																																							
DUR.KIB	𒄙𒄒				178+378	U+12119 & U+12112	True	DURAN																																								
GUN	𒄘𒌦				179	U+12118 & U+12326	True	GU2.UN	BILTI	BILTU																																						
SU4	𒋜				182	U+122DC	False	SI gunû	GUNNU																																							
SU4	𒋜𒀀				182+839	U+122DC & U+12000	True	SU9																																								
SAG	𒊕				184	U+12295	False	DUL7	DUNGA	SAQ	SUR14	ŠA24	ŠAG	ŠAK	ŠAQ																																	
SAG over SAG	𒊧				184	U+122A7	False	SAGMINx																																								
SAG x DUB	𒊘				184 (sign SAG)	U+12298	False																																									
SAG x KUR	𒊛				184 (sign SAG)	U+1229B	False																																									
SAG x TAB	𒊡				184 (sign SAG)	U+122A1	False																																									
SAG.AN	𒊕𒀭				184+010	U+12295 & U+1202D	True	TIRIGI																																								
SAG.EZEN	𒊕𒂡				184+271	U+12295 & U+120A1	True	DURME																																								
SAG.PA.LAGAB	𒊕𒉺𒆸				184+464+755	U+12295 & U+1227A & U+121B8	True	IGIRA	ZARAḪ																																							
SAG.SAR	𒊕𒊬				184+541	U+12295 & U+122AC	True	SAKAR2																																								
SAG.MUNUS	𒊕𒊩				184+883	U+12295 & U+122A9	True	ERU2	ERUM2																																							
SAG x NUN	𒊞				185	U+1229E	False	DILIB4																																								
SAG x UM	𒊤				186	U+122A4	False	DILIB3																																								
SAG x DU	𒊗				187	U+12297	False	SAGDU																																								
SAG x GAG	𒊚				188	U+1229A	False	MUḪ2																																								
SAG x NI	𒊕  x 𒉌				189	U+12295 & U+0020 & U+0020 & U+0078 & U+0020 & U+1224C	True																																									
SAG x UŠ	𒊦				190	U+122A6	False	DILIB5																																								
SAG x ŠID	𒊠				191	U+122A0	False	DILIB3																																								
SAG x U2	𒊢				192	U+122A2	False	USUG3	ZUG3																																							
SAG x UB	𒊣				193	U+122A3	False	SAGDU																																								
SAG x SIG7	𒊕  x 𒅊				194	U+12295 & U+0020 & U+0020 & U+0078 & U+0020 & U+1214A	True																																									
SAG x MI	𒊝				195	U+1229D	False	KAN3	KANA3																																							
SAG x UR	𒊥				196	U+122A5	False	GUD2	GUDA3	GUDU2																																						
SAG x A	𒊖				197	U+12296	False																																									
SAG x ḪA	𒊙				198	U+12299	False																																									
SAG x MUNUS	𒊟				199	U+1229F	False	DILIB6	ERU3	ERUM3																																						
SAG x LUM	𒊜				200	U+1229C	False	ḪULUM2																																								
MA2	𒈣				201	U+12223	False	MA’																																								
DIMGUL	𒈣𒈮				202	U+12223 & U+1222E	True	MA2.MUG	DELLU	DELU	DELUR	DERGUL	DILU	DILUR	DIRGUL	DURGUL	TARGUL																															
UZ3	𒍚				203	U+1235A	False	MA2.KASKAL	UD5	US3																																						
UZ3 x KASKAL	𒍛				204	U+1235B	False	GUANA																																								
SUR9	𒋪				205	U+122EA	False	MA2.KASKAL.SIG7and similar	SURA	SURRU	ZUR2																																					
SUR10	𒈣𒅊				206	U+12223 & U+1214A	True	MA2.SIG7and similar	SURA	SURRU2	ZUR3																																					
DIR.BUR2	𒋛𒀀𒁔				207+008	U+122DB & U+12000 & U+12054	True	SABU																																								
NIQ3					208		False																																									
TAB over TAB.NI over NI.DIŠ over DIŠ	𒋱				209	U+122F1	False	UBIŠAGA																																								
TAB squared	𒋲				209	U+122F2	False																																									
EŠ21	𒐻				210	U+1243B	False	TAB.AŠ	3																																							
TAB.AN.U	𒋰𒀭𒌋				211	U+122F0 & U+1202D & U+1230B	True	MEGIDA																																								
TAB.TI	𒋰𒋾				211	U+122F0 & U+122FE	True	MEGIDA	MEGIDDA																																							
GEŠTIN	𒃾				212	U+120FE	False	GIŠ.DIN	KURUN4																																							
GEŠTIN x KUR	𒃿				213	U+120FF	False	ADAR3	ILDAG4																																							
TAB.KUN	𒋰𒆲				214	U+122F0 & U+121B2	True	MEGIDA2	MEGIDDA2																																							
AŠ over AŠ.AŠ over AŠ	𒐂				215	U+12402	False	TAB.TAB	4	ARRAP	ERBA	LAM4	LAMMU2																																			
TAB.TAB	𒇹				215	U+121F9	False	4	ARRAP	ERBA	LAM4	LAMMU2																																				
TAB.TAB.AŠ	𒐃				216	U+12403	False	5	IA7																																							
AŠ4	𒐄				217	U+12404	False	TAB.TAB.TAB	6																																							
IMIN2	𒐅				218	U+12405	False	TAB.TAB.TAB.AŠ	7	UMUN8																																						
USSU2	𒐆				219	U+12406	False	TAB.TAB.TAB.TAB	8	USSA2																																						
ILIMMU2	𒐇				220	U+12407	False	TAB.TAB.TAB.TAB.AŠ	9																																							
TAG x GU4	𒋵				221	U+122F5	False	TAG x GUD	SILIG4																																							
TAG x ŠU	𒋷				221	U+122F7	False	TIBIR2																																								
TAG x TUG2	𒋸				221	U+122F8	False	SILIG3																																								
TAG x UD	𒋹				221	U+122F9	False	SILIG2																																								
TAG x BI	𒋴				221 (sign TAG)	U+122F4	False																																									
TAG x ŠE	𒋶				221 (sign TAG)	U+122F6	False																																									
TAG.TAG	𒋳𒋳				221+221	U+122F3 & U+122F3	True	ZIZ5																																								
TAG.GU4	𒋳𒄞				221+472	U+122F3 & U+1211E	True	SILIG4																																								
TAG.ŠU	𒋳𒋗				221+567	U+122F3 & U+122D7	True	TIBIR2																																								
TAG.UD	𒋳𒌓				221+596	U+122F3 & U+12313	True	SILIG2																																								
TAG.TUG2	𒋳𒌆				221+809	U+122F3 & U+12306	True	SILIG3																																								
KA2	𒆍				222	U+1218D	False	AKA4	AKAN2	BAB3																																						
KA2	𒆎				222 (sign KA2)	U+1218E	False																																									
KA2	𒆍𒃲				222+553	U+1218D & U+120F2	True	ABUL																																								
AB.NAM	𒀊𒉆				223+134	U+1200A & U+12246	True	ABSIN2																																								
AB.MUŠ3	𒀊𒈹				223+153	U+1200A & U+12239	True	ZABALA6	ZABALAM6																																							
AB.ḪA.ZAG.GAB.ḪU	𒀊𒄩𒍠𒃮𒄷				223+856+540+298+132	U+1200A & U+12129 & U+12360 & U+120EE & U+12137	True	AB.ḪA.ZAG.DU8.ḪU	ESSADU	EŠSADU																																						
AB.DAM.MA	𒀊𒁮𒈠				223+889+552	U+1200A & U+1206E & U+12220	True	EŠ3.DAM.MA	EŠDA2																																							
AB x NUN	𒀊  x 𒉣				224	U+1200A & U+0020 & U+0020 & U+0078 & U+0020 & U+12263	True																																									
AB x KAR2	𒀎				225	U+1200E	False	AB x GAN2tenû	AGARIN2																																							
AB x ŠEŠ	𒀓				226	U+12013	False	ZI4																																								
AB x AŠ2	𒀋				227	U+1200B	False	ABBA2																																								
URUGAL	𒀍				228	U+1200D	False	AB x GAL	EŠGAL	UNUGI2																																						
AB x SIG7	𒀐				229	U+12010	False	AB x IGI  gunû	UNUGI																																							
URUDU	𒍏				230	U+1234F	False	DA5	DAB6	GI27	ŠEN2	TAB5	ṬAB4	URUD	URUDA																																	
URUDU.DA	𒍏𒁕				230+561	U+1234F & U+12055	True	UMMEDA3																																								
URUDU.NAGAR	𒍏𒉄				230+893	U+1234F & U+12244	True	URUDA.NAGAR	DIBIRA	TEBIRA	TEBIRU	TABIRA	TIBIRA																																			
AB x AŠ	𒀊  x 𒀸				231	U+1200A & U+0020 & U+0020 & U+0078 & U+0020 & U+12038	True																																									
AB x U	𒀊  x 𒌋				231	U+1200A & U+0020 & U+0020 & U+0078 & U+0020 & U+1230B	True																																									
UNUG	𒀔				232	U+12014	False	AB x EŠ	AB  gunû	AB4	ABA4	ERI11	ERIM5	ERIN5	NU7	SIRARA5	UNU	URUGAL2																														
UNUG	𒀕				232	U+12015	False	AB  gunû																																								
AB x KI	𒀊  x 𒆠				233	U+1200A & U+0020 & U+0020 & U+0078 & U+0020 & U+121A0	True																																									
AB x LAGAB	𒀒				234	U+12012	False	NIGIN6	NIMGIN6	NIMIN2	NINGIN6																																					
AB x GIN2	𒀌				235	U+1200C	False	AGARIN																																								
NINA	𒀏				236	U+1200F	False	AB x ḪA	NANŠE	NAŠŠE	NAZI	NINUA	SIRARA	SIRARAN																																		
AB x IMIN	𒀑				237	U+12011	False	EŠEMEN4	EŠEMIN4																																							
UM.ME	𒌝𒈨				238+753	U+1231D & U+12228	True	EME2																																								
UM.ME.DA	𒌝𒈨𒁕				238+753+561	U+1231D & U+12228 & U+12055	True	EMED2																																								
UM x U	𒌡				239	U+12321	False	SAMAG3																																								
URUDU x U	𒍐				239	U+12350	False	SAMAG3																																								
UM x U.LAGAB	𒌝  x 𒌋𒆸				240	U+1231D & U+0020 & U+0020 & U+0078 & U+0020 & U+1230B & U+121B8	True	SAMAG4																																								
URUDU x U.LAGAB	𒍏  x 𒌋𒆸				240	U+1234F & U+0020 & U+0020 & U+0078 & U+0020 & U+1230B & U+121B8	True	SAMAG4																																								
UM x ME.DA	𒌟				241	U+1231F	False	EMEDA3																																								
DUB x EŠ2	𒁿				242 (sign DUB)	U+1207F	False																																									
DUB.ME	𒁾𒈨				242+753	U+1207E & U+12228	True	UMMEDA																																								
DUB x ŠE	𒁾  x 𒊺				243	U+1207E & U+0020 & U+0020 & U+0078 & U+0020 & U+122BA	True	GAZ3																																								
DUB x ŠA3	𒁾 x𒊮				244	U+1207E & U+0020 & U+0078 & U+122AE	True	SAMAG2																																								
UM x ŠA3	𒌠				244	U+12320	False	SAMAG2																																								
DUB x LAGAB	𒁾 x𒆸				245	U+1207E & U+0020 & U+0078 & U+121B8	True	SAMAG5	SIMIG5	SUMUG5																																						
UM x LAGAB	𒌞				245	U+1231E	False	SAMAG5	SIMIG5	SUMUG5																																						
TA*	𒋬				248	U+122EC	False	DA2	ṬA2																																							
TA	𒋯				249	U+122EF	False	GANMUŠ2																																								
TA x ḪI	𒋫  x 𒄭				250	U+122EB & U+0020 & U+0020 & U+0078 & U+0020 & U+1212D	True																																									
LAL3	𒋫  x 𒄭  also  𒋭				250 (also 170)	U+122EB & U+0020 & U+0020 & U+0078 & U+0020 & U+1212D & U+0020 & U+0020 & U+0061 & U+006C & U+0073 & U+006F & U+0020 & U+0020 & U+122ED	True	TA x ḪI	ALAMMUŠ																																							
TA x MI	𒋮				251	U+122EE	False	GANMUŠ																																								
ŠAB6	𒊸				252? (sign I)	U+122B8	False	OIP92	p. 86																																							
I.LU	𒄿𒇻				252+812	U+1213F & U+121FB	True	KUN4																																								
I.DIB	𒄿𒁳				252+813	U+1213F & U+12073	True	KUN4																																								
KAM2					254		False	ERIŠ7	KA16																																							
TUR.ARAD	𒌉𒀴				255+018	U+12309 & U+12034	True	DUMU.NITA2	IBILA2																																							
TUR.SAG	𒌉𒊕				255+184	U+12309 & U+12295	True	DUMU.SAG	IBILA3																																							
TUR.TUR	𒌉𒌉				255+255	U+12309 & U+12309	True	DIDI																																								
TUR.TUR.LAL	𒌉𒌉𒇲				255+255+750	U+12309 & U+12309 & U+121F2	True	DIDLAx																																								
TUR.UŠ	𒌉𒍑				255+381	U+12309 & U+12351	True	DUMU.NITA	IBILA																																							
TUR.ŠE3	𒌉𒂠				255+810	U+12309 & U+120A0	True	KUN5																																								
TUR.DIŠ	𒌉𒁹				256	U+12309 & U+12079	True	GENA	GENNA	GINA	GINAN	GINNA	ḪIBIS	ḪIBIZ	IBILA4																																	
ZIZNA	𒌊				257	U+1230A	False	TUR over  TUR.ZA  over  ZA	ZAZNA	ZAZANA																																						
AD.KID	𒀜𒆤				258+484	U+1201C & U+121A4	True	AKKIL2	GUB5																																							
RAB.GAL	𒊐𒃲				262+553	U+12290 & U+120F2	True	GUŠUR2	UR13																																							
RAB.GAN	𒊐𒃶				263	U+12290 & U+120F6	True	DIM8																																								
RAB.GAM	𒊐𒃵				264	U+12290 & U+120F5	True	DIM3																																								
RAB.	𒊐𒆚				265	U+12290 & U+1219A	True	DIM10																																								
LUGAL	𒈗				266	U+12217	False	BIŠEBA	BIŠEBI	ḪANIŠ2	KAŠŠEBA																																					
LUGAL over LUGAL	𒈘				266	U+12218	False	DADRUM																																								
LUGAL	𒈚				266 (sign LUGAL)	U+1221A	False																																									
LUGAL.GAN	𒈗𒃶				267  (266+263)	U+12217 & U+120F6	True	DIM9																																								
LUGAL.LUGAL	𒈙				268	U+12219	False	LUGALopposing LUGAL	ADAMEN2																																							
LUGAL	𒈗𒆚				269  (266+595)	U+12217 & U+1219A	True	DIM3																																								
ḪAŠḪUR	𒈢				270	U+12222	False	MA gunû	DURBA																																							
EZEN	𒂡				271	U+120A1	False	EZEM	EZIN	GIR11	GIRI11	ḪER	ḪIR	IZEN	IZIN	IZUN	KEŠ2	KEŠDA	KEŠE2	KIRI7	KIRID	KIRIS	KIŠ2	SAḪAR2	ŠIR3																							
KEŠ2	𒆟				271	U+1219F	False																																									
EZEN x ḪA	𒂪				271 (sign EZEN)	U+120AA	False																																									
EZEN x AN	𒂥				272	U+120A5	False																																									
EZEN x LI	𒂱				273	U+120B1	False	LIBIN																																								
EZEN x LA	𒂯				274	U+120AF	False	GUBALAG	GUBLAGA	LABAN																																						
BAD3	𒂦				275	U+120A6	False	EZEN x BAD																																								
EZEN x SI	𒂡  x 𒋛				276	U+120A1 & U+0020 & U+0020 & U+0078 & U+0020 & U+122DB	True	too uncertain																																								
EZEN x KASKAL squared	𒂭				277	U+120AD	False	4 x UBARA forming cross	GUGU2																																							
UBARA	𒂬				277	U+120AC	False	EZEN x KASKAL	SIL5	SUD5	UL5	UMBARA	UN4																																			
EZEN x GU4	𒂡  x 𒄞				278	U+120A1 & U+0020 & U+0020 & U+0078 & U+0020 & U+1211E	True																																									
EZEN x U2	𒂳				279	U+120B3	False	USIL																																								
EZEN x MIR	𒂧				280	U+120A7	False	EZEN x DUN3 gunû	DUGINA2	MIR5																																						
EZEN x DUN3  gunû  gunû	𒂨				280 (sign EZEN x MIR)	U+120A8	False																																									
EZEN x SIG7	𒂫				281	U+120AB	False	EZEN x IGI  gunû	KISIG2	UDINIM	UDNIM																																					
EZEN x ŠE	𒂡  x 𒊺				282	U+120A1 & U+0020 & U+0020 & U+0078 & U+0020 & U+122BA	True	EZEN4																																								
EZEN x UD	𒂴				283	U+120B4	False	ASIL6	ASILA6	ASILAL6	SIL10	SILAL6																																				
EZEN x KUG	𒂮				284	U+120AE	False	EZEN x KU3	KISIG	KISIGA	KIŠAG	KIŠAGA																																				
ASILAL	𒂰				285	U+120B0	False	EZEN x LAL2	EZEN  x LAL  x LAL	ASIL	ASILA																																					
EZEN x LU	𒂲				286	U+120B2	False	LUBUN																																								
EZEN x GIN2	𒂡  x 𒂅				287	U+120A1 & U+0020 & U+0020 & U+0078 & U+0020 & U+12085	True	EZEN x DUN3	DUGINA																																							
ASILAL3	𒂢				288	U+120A2	False	EZEN x A	ASIL3	ASILA3	MURGIŠUR																																					
SIL7	𒂣				289	U+120A3	False	EZEN x A.LAL	ASIL5	ASILA5	ASILAL5																																					
ASILAL4	𒂤				290	U+120A4	False	EZEN x A.LAL2	ASIL4	ASILA4	SIL9																																					
EZEN x ḪA	𒂩				291	U+120A9	False	UDINIM2	UDNIM2																																							
SUM	𒋧				292	U+122E7	False	ARI6	SAR8	SE3	SEG10	SI3	SIG10	SIM2	SU12	ŠUN4	ZAR3																															
4 x A	𒀱				293	U+12031	False	AN.NAGA squared	DALḪAMUN4																																							
AN.NAGA.AN.NAGA inversum	𒀰				293	U+12030	False	AN.NAGAopposing AN.NAGA	DALḪAMUN5																																							
NAGA	𒉀				293	U+12240	False	DEME2	EREŠ2	ERIŠ2	ḪILIB2	NAG2	TEME2	TU22																																		
NAGA inversum	𒉁				293	U+12241	False	DEME	TE3																																							
NAGA.NAGA inversum	𒉃				293	U+12243	False	NAGAopposing NAGA	DALḪAMUN7	ḪAMUN																																						
NAGA x ŠU	𒉂				294	U+12242	False	TU23																																								
PIRIG x KAL	𒊋				295	U+1228B	False	NIB	NIB2																																							
DU8	𒂃				298	U+12083	False	DAḪ2	DUḪ	PITRU	TAḪ2	TU24	TUḪ	TUḪU	ṬAḪ2	ṬU5	ṬUḪ																															
GABA crossing GABA	𒃯				298 (sign GABA)	U+120EF	False																																									
GAB.LIŠ	𒃮𒇺				299	U+120EE & U+121FA	True																																									
EDIN	𒂔				300	U+12094	False	BIR4	EDEN	ERU5	ERUA2	LA8	RABITA																																			
KASKAL.GA	𒆜𒂵				302+491	U+1219C & U+120B5	True	GAEŠ2																																								
KASKAL.UD	𒆜𒌓				302+596	U+1219C & U+12313	True	ITI3																																								
KASKAL.ITI	𒆜𒌚				303	U+1219C & U+1231A	True	ITI3																																								
KASKAL.KUR	𒆜𒆳				304	U+1219C & U+121B3	True	ALBA2	ALḪA	BALIḪA	ILBA2	ILḪA	ILLAT																																			
KASKAL.BU	𒆜𒁍				305	U+1219C & U+1204D	True	DANA	DANNA																																							
KASKAL.BU.DA	𒆜𒁍𒁕				305+561	U+1219C & U+1204D & U+12055	True	DANNA3																																								
KASKAL.AḪ	𒆜𒄴				306	U+1219C & U+12134	True	KIŠI15																																								
KASKAL	𒆜  over 𒆜.𒆸  over 𒆸				307	U+1219C & U+0020 & U+0020 & U+006F & U+0076 & U+0065 & U+0072 & U+0020 & U+1219C & U+002E & U+121B8 & U+0020 & U+0020 & U+006F & U+0076 & U+0065 & U+0072 & U+0020 & U+121B8	True	ŠUBTU4																																								
KASKAL over KASKAL.TUL2 over TUL2	𒆞				307	U+1219E	False	ŠUBTU7																																								
KASKAL.	𒆜𒇥				307	U+1219C & U+121E5	True	ŠUBTU5																																								
KASKAL.LAGAB	𒆜𒆸				307	U+1219C & U+121B8	True	ŠUBTU3																																								
