name	sign	syllabic	PREFIX	POSTFIX	meszl	unicode	compound	sumerogram1	sumerogram2	sumerogram3	sumerogram4	sumerogram5	sumerogram6	sumerogram7	sumerogram8	sumerogram9	sumerogram10	sumerogram11	sumerogram12	sumerogram13	sumerogram14																											
ERIM	𒂟	ṣab, ṣap, zab, zap			612	U+1209F	False	EREM	EREN2	ERIN2	NURA	NŪRA	NŪRI	NŪRU	RIN2	RINA2	SAP2	ṢAB	ṢAP	ṢAPA	ZAB	ZALAG2	ZALAGA2	ZAP																								
ŠA	𒊭	ša			566	U+122AD	False	ARA	EN8	LI5																																						
SA	𒊓	sa			172	U+12293	False	GID3	ŚA	ŠA10																																						
RU	𒊒	ru			111	U+12292	False	ILAR	ILLAR	ILLULU	ŠUP																																					
RI	𒊑	re, ri, dal, tal			142	U+12291	False	DAL	DALA	DE5	DI5	EŠ11	GAR16	ṬAL																																		
AG2	𒉘	ram			326	U+12258	False	NINDA2 x NE	AGA2	AKA2	AM2	EG3	EM3	IG3	IM3	RAM	RAMA																															
MUNUS	𒊩	rag, rak, raq, šal	female names		883	U+122A9	False	GAL4	GEME	ŠAL	ŠEL4																																					
RAB	𒊐	rab, rap			262	U+12290	False	RABA	RAP																																							
RA	𒊏	ra			511	U+1228F	False	RAḪ2																																								
KUM	𒄣	qu, kum			339	U+12123	False	GAS2																																								
KIN	𒆥	qe, qi, kin, qin			815	U+121A5	False	GUR10	GURUN6	QE	QI	QIN	SAG11	SEG18	SIG18																																	
GAR3	𒃼	qar			543	U+120FC	False	GARA3	KAR3	KIR16	QAR	QER5																																				
SILA3	𒋡	qa			099	U+122E1	False	GA5	KA4	QA	SAL4	SIL3	ŠAL2	ŠIL2																																		
PI	𒉿	pe, pi, wa, we, wi, wu			598	U+1227F	False	A3	AM7	AW	BE6	BI3	EW	GAGGU	UW	WA	WE	WI	WU	YA	YE	YI	YU																									
PAD	𒉻	pad, pat, paṭ, šuk, šug, šuq	baked goods		746	U+1227B	False	BAD2																																								
PAB	𒉽	pab, kur, bab			092	U+1227D	False	AḪ4	AḪA3	BA14	BAB	BAP	GUR12	KUR2	KURU2	PA4	PAP	QUR4																														
PA	𒉺	pa, ḫa, ḫad, ḫat			464	U+1227A	False	ARI3	ARU	ZAG2	ZAK2	ZAQ2																																				
NUN	𒉣	nun, ṣil			143	U+12263	False	ERIDA	ERIDU	ERIDUG	GAR6	GARA6	LI11	NU6	NUNA	SIL2	ṢIL	ZA4	ZEL	ZIL																												
NU	𒉡	nu			112	U+12261	False	LA3	SIR5	ŠIR5	U23	UL2																																				
NIN	𒊩𒌆	nin			887	U+122A9 & U+12306	True																																									
NIG	𒊩𒌨	nig, nik, niq			898	U+122A9 & U+12328	True	MUNUS.UR	NAK3	NIK	NIQ																																					
